text,norm,category,lemma,source
Unterhaltung,unterhaltung,noun,unterhaltung,docs/cefr/goethe_a1_wortliste.pdf
Arbeitsplatz,arbeitsplatz,noun,arbeitsplatz,docs/cefr/goethe_a1_wortliste.pdf
Interessen,interessen,noun,interesse,docs/cefr/goethe_a1_wortliste.pdf
Urlaub,urlaub,noun,urlaub,docs/cefr/goethe_a1_wortliste.pdf
Sport,sport,noun,sport,docs/cefr/goethe_a1_wortliste.pdf
treiben,treiben,verb,treiben,docs/cefr/goethe_a1_wortliste.pdf
Radio,radio,noun,radio,docs/cefr/goethe_a1_wortliste.pdf
Fernsehen,fernsehen,noun,fernsehen,docs/cefr/goethe_a1_wortliste.pdf
Internet,internet,noun,internet,docs/cefr/goethe_a1_wortliste.pdf
Lektüre,lektüre,noun,lektüre,docs/cefr/goethe_a1_wortliste.pdf
Presse,presse,noun,presse,docs/cefr/goethe_a1_wortliste.pdf
zugrunde,zugrunde,adverb,zugrunde,docs/cefr/goethe_a1_wortliste.pdf
liegende,liegende,adjective,liegend,docs/cefr/goethe_a1_wortliste.pdf
zwei,zwei,numeral,zwei,docs/cefr/goethe_a1_wortliste.pdf
befindet,befindet,verb,befinden,docs/cefr/goethe_a1_wortliste.pdf
mit,mit,preposition,mit,docs/cefr/goethe_a1_wortliste.pdf
Kategorien,kategorien,noun,kategorie,docs/cefr/goethe_a1_wortliste.pdf
Ausgenommen,ausgenommen,verb,ausnehmen,docs/cefr/goethe_a1_wortliste.pdf
innerhalb,innerhalb,preposition,innerhalb,docs/cefr/goethe_a1_wortliste.pdf
Lesetexte,lesetexte,noun,lesetext,docs/cefr/goethe_a1_wortliste.pdf
Verständnis,verständnis,noun,verständnis,docs/cefr/goethe_a1_wortliste.pdf
Erfüllen,erfüllen,verb,erfüllen,docs/cefr/goethe_a1_wortliste.pdf
Aufgabe,aufgabe,noun,aufgabe,docs/cefr/goethe_a1_wortliste.pdf
sinntragend,sinntragend,adverb,sinntragend,docs/cefr/goethe_a1_wortliste.pdf
außerdem,außerdem,adverb,außerdem,docs/cefr/goethe_a1_wortliste.pdf
erschließen,erschließen,verb,erschließen,docs/cefr/goethe_a1_wortliste.pdf
lassen,lassen,verb,lassen,docs/cefr/goethe_a1_wortliste.pdf
Auswahl,auswahl,noun,auswahl,docs/cefr/goethe_a1_wortliste.pdf
erfolgt,erfolgt,verb,erfolgen,docs/cefr/goethe_a1_wortliste.pdf
Grundlage,grundlage,noun,grundlage,docs/cefr/goethe_a1_wortliste.pdf
Alltagskommuni,alltagskommuni,proper noun,alltagskommuni,docs/cefr/goethe_a1_wortliste.pdf
tion,tion,noun,tion,docs/cefr/goethe_a1_wortliste.pdf
folgenden,folgenden,adjective,folgend,docs/cefr/goethe_a1_wortliste.pdf
vier,vier,numeral,vier,docs/cefr/goethe_a1_wortliste.pdf
Bereichen,bereichen,noun,bereich,docs/cefr/goethe_a1_wortliste.pdf
beruflicher,beruflicher,adjective,beruflich,docs/cefr/goethe_a1_wortliste.pdf
Bildung,bildung,noun,bildung,docs/cefr/goethe_a1_wortliste.pdf
Aufgenommen,aufgenommen,noun,aufgenomma,docs/cefr/goethe_a1_wortliste.pdf
Bewältigung,bewältigung,noun,bewältigung,docs/cefr/goethe_a1_wortliste.pdf
Prüfungsauf,prüfungsauf,noun,prüfungsauf,docs/cefr/goethe_a1_wortliste.pdf
gaben,gaben,verb,geben,docs/cefr/goethe_a1_wortliste.pdf
unerlässlich,unerlässlich,adverb,unerlässlich,docs/cefr/goethe_a1_wortliste.pdf
Antwort,antwort,noun,antwort,docs/cefr/goethe_a1_wortliste.pdf
bogen,bogen,noun,bogen,docs/cefr/goethe_a1_wortliste.pdf
ankreuzen,ankreuzen,verb,ankreuzen,docs/cefr/goethe_a1_wortliste.pdf
ergänzen,ergänzen,verb,ergänzen,docs/cefr/goethe_a1_wortliste.pdf
zuordnen,zuordnen,verb,zuordnen,docs/cefr/goethe_a1_wortliste.pdf
Frequenzkriterien,frequenzkriterien,noun,frequenzkriterie,docs/cefr/goethe_a1_wortliste.pdf
hinsichtlich,hinsichtlich,preposition,hinsichtlich,docs/cefr/goethe_a1_wortliste.pdf
muttersprachli,muttersprachli,proper noun,muttersprachli,docs/cefr/goethe_a1_wortliste.pdf
chen,chen,proper noun,chen,docs/cefr/goethe_a1_wortliste.pdf
Kommunikation,kommunikation,noun,kommunikation,docs/cefr/goethe_a1_wortliste.pdf
Deutschen,deutschen,noun,deutsche,docs/cefr/goethe_a1_wortliste.pdf
hingegen,hingegen,adverb,hingegen,docs/cefr/goethe_a1_wortliste.pdf
heran,heran,adverb,heran,docs/cefr/goethe_a1_wortliste.pdf
gezogen,gezogen,verb,ziehen,docs/cefr/goethe_a1_wortliste.pdf
unterschieden,unterschieden,verb,unterscheiden,docs/cefr/goethe_a1_wortliste.pdf
mitgezählt,mitgezählt,verb,mitzählen,docs/cefr/goethe_a1_wortliste.pdf
da,da,adverb,da,docs/cefr/goethe_a1_wortliste.pdf
zeigen,zeigen,verb,zeigen,docs/cefr/goethe_a1_wortliste.pdf
ausländisch,ausländisch,adverb,ausländisch,docs/cefr/goethe_a1_wortliste.pdf
telefonieren,telefonieren,verb,telefonieren,docs/cefr/goethe_a1_wortliste.pdf
übernachten,übernachten,verb,übernachten,docs/cefr/goethe_a1_wortliste.pdf
Übernachtung,übernachtung,noun,übernachtung,docs/cefr/goethe_a1_wortliste.pdf
aber,aber,conjunction,aber,docs/cefr/goethe_a1_wortliste.pdf
Bestandteil,bestandteil,noun,bestandteil,docs/cefr/goethe_a1_wortliste.pdf
lexikalischen,lexikalischen,adjective,lexikalisch,docs/cefr/goethe_a1_wortliste.pdf
Kunde,kunde,noun,kunde,docs/cefr/goethe_a1_wortliste.pdf
Kundin,kundin,noun,kundin,docs/cefr/goethe_a1_wortliste.pdf
Komposita,komposita,proper noun,komposita,docs/cefr/goethe_a1_wortliste.pdf
bei,bei,preposition,bei,docs/cefr/goethe_a1_wortliste.pdf
Nomen,nomen,noun,nomen,docs/cefr/goethe_a1_wortliste.pdf
Kinderbett,kinderbett,noun,kinderbett,docs/cefr/goethe_a1_wortliste.pdf
aufgenom,aufgenom,noun,aufgenom,docs/cefr/goethe_a1_wortliste.pdf
denn,denn,conjunction,denn,docs/cefr/goethe_a1_wortliste.pdf
Zusammensetzung,zusammensetzung,noun,zusammensetzung,docs/cefr/goethe_a1_wortliste.pdf
erbringt,erbringt,verb,erbringen,docs/cefr/goethe_a1_wortliste.pdf
neuen,neuen,adjective,neu,docs/cefr/goethe_a1_wortliste.pdf
Sinn,sinn,noun,sinn,docs/cefr/goethe_a1_wortliste.pdf
Kindergarten,kindergarten,noun,kindergarten,docs/cefr/goethe_a1_wortliste.pdf
Pluralformen,pluralformen,noun,pluralforme,docs/cefr/goethe_a1_wortliste.pdf
angeführt,angeführt,verb,anführen,docs/cefr/goethe_a1_wortliste.pdf
wo,wo,conjunction,wo,docs/cefr/goethe_a1_wortliste.pdf
Sprachniveau,sprachniveau,noun,sprachniveau,docs/cefr/goethe_a1_wortliste.pdf
relevant,relevant,adverb,relevant,docs/cefr/goethe_a1_wortliste.pdf
