lemma,category,gender,notes,source
mai,noun,,,cefr_a1
mann,noun,,,cefr_a1
maschine,noun,,,cefr_a1
maß,noun,,,cefr_a1
medikament,noun,,,cefr_a1
meer,noun,,,cefr_a1
mensch,noun,,,cefr_a1
messeplatz,noun,,,cefr_a1
meter,noun,,,cefr_a1
mexikaner,noun,,,cefr_a1
mexikanerin,noun,,,cefr_a1
miete,noun,,,cefr_a1
mietverhältnis,noun,,,cefr_a1
milch,noun,,,cefr_a1
milliarde,noun,,,cefr_a1
million,noun,,,cefr_a1
minute,noun,,,cefr_a1
mittag,noun,,,cefr_a1
mittagspause,noun,,,cefr_a1
mitte,noun,,,cefr_a1
mittel,noun,,,cefr_a1
mittwoch,noun,,,cefr_a1
moment,noun,,,cefr_a1
monat,noun,,,cefr_a1
monatsname,noun,,,cefr_a1
montag,noun,,,cefr_a1
mund,noun,,,cefr_a1
museum,noun,,,cefr_a1
mutter,noun,,,cefr_a1
mädchen,noun,,,cefr_a1
märz,noun,,,cefr_a1
möbel,noun,,,cefr_a1
möchten,noun,,,cefr_a1
nachmittag,noun,,,cefr_a1
nacht,noun,,,cefr_a1
nachweis,noun,,,cefr_a1
nahrungsmittel,noun,,,cefr_a1
name,noun,,,cefr_a1
nationalität,noun,,,cefr_a1
nebeneintrag,noun,,,cefr_a1
nebeneinträge,noun,,,cefr_a1
neuankömmling,noun,,,cefr_a1
nikative,noun,,,cefr_a1
niveau,noun,,,cefr_a1
niveaustuf,noun,,,cefr_a1
nomen,noun,,,cefr_a1
norddeutschen,noun,,,cefr_a1
norden,noun,,,cefr_a1
november,noun,,,cefr_a1
nächsten,noun,,,cefr_a1
obst,noun,,,cefr_a1
oktober,noun,,,cefr_a1
opa,noun,,,cefr_a1
ordnung,noun,,,cefr_a1
ort,noun,,,cefr_a1
osten,noun,,,cefr_a1
papier,noun,,,cefr_a1
park,noun,,,cefr_a1
partner,noun,,,cefr_a1
partnerin,noun,,,cefr_a1
party,noun,,,cefr_a1
pass,noun,,,cefr_a1
pause,noun,,,cefr_a1
perlmann-balm,noun,,,cefr_a1
person,noun,,,cefr_a1
pflanze,noun,,,cefr_a1
pfund,noun,,,cefr_a1
plan,noun,,,cefr_a1
platz,noun,,,cefr_a1
pluralforme,noun,,,cefr_a1
polizei,noun,,,cefr_a1
post,noun,,,cefr_a1
postleitzahl,noun,,,cefr_a1
praktikum,noun,,,cefr_a1
praxis,noun,,,cefr_a1
preis,noun,,,cefr_a1
presse,noun,,,cefr_a1
problem,noun,,,cefr_a1
profil,noun,,,cefr_a1
prospekt,noun,,,cefr_a1
prozent,noun,,,cefr_a1
prüfung,noun,,,cefr_a1
prüfungsauf,noun,,,cefr_a1
prüfungsverfahren,noun,,,cefr_a1
prüfungsziel,noun,,,cefr_a1
publikation,noun,,,cefr_a1
quadratmeter,noun,,,cefr_a1
rad,noun,,,cefr_a1
radio,noun,,,cefr_a1
rahmen,noun,,,cefr_a1
rat,noun,,,cefr_a1
rauchen,noun,,,cefr_a1
raum,noun,,,cefr_a1
rausch,noun,,,cefr_a1
rechnung,noun,,,cefr_a1
referenz,noun,,,cefr_a1
referenzrahmen,noun,,,cefr_a1
referenzrahmens,noun,,,cefr_a1
regen,noun,,,cefr_a1
reis,noun,,,cefr_a1
reise,noun,,,cefr_a1
reisebüro,noun,,,cefr_a1
reiseführer,noun,,,cefr_a1
reparatur,noun,,,cefr_a1
restaurant,noun,,,cefr_a1
rezeption,noun,,,cefr_a1
richtung,noun,,,cefr_a1
ruf,noun,,,cefr_a1
s-bahn,noun,,,cefr_a1
saft,noun,,,cefr_a1
salat,noun,,,cefr_a1
salz,noun,,,cefr_a1
samstag,noun,,,cefr_a1
satz,noun,,,cefr_a1
schalter,noun,,,cefr_a1
schicken,noun,,,cefr_a1
schild,noun,,,cefr_a1
schinken,noun,,,cefr_a1
schluss,noun,,,cefr_a1
schlüssel,noun,,,cefr_a1
schrank,noun,,,cefr_a1
schreiben,noun,,,cefr_a1
schuh,noun,,,cefr_a1
schule,noun,,,cefr_a1
schwarze,noun,,,cefr_a1
schwester,noun,,,cefr_a1
schwimmbad,noun,,,cefr_a1
schöne,noun,,,cefr_a1
schüler,noun,,,cefr_a1
schülerin,noun,,,cefr_a1
sechsstufig,noun,,,cefr_a1
see,noun,,,cefr_a1
sehenswürdigkeit,noun,,,cefr_a1
seid,noun,,,cefr_a1
sekunde,noun,,,cefr_a1
september,noun,,,cefr_a1
sinn,noun,,,cefr_a1
sofa,noun,,,cefr_a1
sohn,noun,,,cefr_a1
sommer,noun,,,cefr_a1
sonnabend,noun,,,cefr_a1
sonne,noun,,,cefr_a1
sonntag,noun,,,cefr_a1
spanier,noun,,,cefr_a1
speise,noun,,,cefr_a1
speisekarte,noun,,,cefr_a1
spiel,noun,,,cefr_a1
spielen,noun,,,cefr_a1
sport,noun,,,cefr_a1
sportschuh,noun,,,cefr_a1
sportverein,noun,,,cefr_a1
sprachbeherrschung,noun,,,cefr_a1
sprachkompetenz,noun,,,cefr_a1
sprachkurse,noun,,,cefr_a1
sprachniveau,noun,,,cefr_a1
sprachprüfung,noun,,,cefr_a1
sprechen,noun,,,cefr_a1
staatsangehörigkeit,noun,,,cefr_a1
stadt,noun,,,cefr_a1
